TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,Type,"_ResourceId",username,timestamp,latitude,longitude,sourcehost,state,label,destination,country
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,".58.211.156,timestamp:2023-12-31 02:30:31
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",,,,,,,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"latitude:31.23171,longitude:121.47264,destinationhost:honeypot1,username:test,sourcehost:121.5.74.35,state:Shanghai,label:China - 121.
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",test,,"31.23171","121.47264","121.5.74.35",Shanghai,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"5.74.35,timestamp:2023-12-31 02:30:29
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",,,,,,,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"latitude:39.95931,longitude:116.29812,destinationhost:honeypot1,username:test,sourcehost:43.243.136.202,state:Beijing,label:China - 43
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",test,,"39.95931","116.29812","43.243.136.202",Beijing,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,".243.136.202,timestamp:2023-12-31 02:30:24
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",,,,,,,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"latitude:31.23171,longitude:121.47264,destinationhost:honeypot1,username:test,sourcehost:175.24.202.160,state:Shanghai,label:China - 1
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",test,,"31.23171","121.47264","175.24.202.160",Shanghai,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"75.24.202.160,timestamp:2023-12-31 02:30:23
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",,,,,,,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"latitude:29.81614,longitude:121.54754,destinationhost:honeypot1,username:test,sourcehost:122.227.146.74,state:Zhejiang,label:China - 1
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",test,,"29.81614","121.54754","122.227.146.74",Zhejiang,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"22.227.146.74,timestamp:2023-12-31 02:30:20
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",,,,,,,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"latitude:23.12518,longitude:113.28064,destinationhost:honeypot1,username:test,sourcehost:125.88.211.59,state:Guangdong,label:China - 1
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",test,,"23.12518","113.28064","125.88.211.59",Guangdong,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"25.88.211.59,timestamp:2023-12-31 02:30:15
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",,,,,,,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"latitude:31.23171,longitude:121.47264,destinationhost:honeypot1,username:test,sourcehost:175.24.202.160,state:Shanghai,label:China - 1
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",test,,"31.23171","121.47264","175.24.202.160",Shanghai,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"75.24.202.160,timestamp:2023-12-31 02:30:13
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",,,,,,,,,
"68edf212-8ec7-4b90-ac01-13c76fa6e8a1",OpsManager,"ba990a10-c55d-8938-4ed8-27665d7c1be7","AOI-68edf212-8ec7-4b90-ac01-13c76fa6e8a1","12/31/2023, 3:25:30.586 AM",honeypot1,"latitude:1.27857,longitude:103.85762,destinationhost:honeypot1,username:test,sourcehost:152.32.219.70,state:Central Singapore Communit
","FAILED_RDP_WITH_GEO_CL_CL","/subscriptions/77b22d33-dfa1-4e9f-a512-742cefe378f0/resourcegroups/honeypotlab1/providers/microsoft.compute/virtualmachines/honeypot1",test,,"1.27857","103.85762","152.32.219.70",,,,
